external_id,source,source_url,title,description,address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,property_type,listing_status,latitude,longitude
NBR-3001,nobroker,https://www.nobroker.in/property/details/NBR-3001,Koramangala Premium 3BHK,Top floor with clubhouse access,"801 80 Feet Road, Koramangala",Bengaluru,KA,560034,9800000,3,3.0,1650,apartment,for_sale,12.935000,77.624000
NBR-3002,nobroker,https://www.nobroker.in/property/details/NBR-3002,Indiranagar 100 Feet Road Flat,Prime location near metro,"402 100 Feet Road, Indiranagar",Bengaluru,KA,560038,11500000,3,2.5,1420,apartment,for_sale,12.978000,77.640000
NBR-3003,nobroker,https://www.nobroker.in/property/details/NBR-3003,Whitefield IT Park 2BHK,Close to tech parks and malls,"1204 ITPL Main Road, Whitefield",Bengaluru,KA,560066,32000,2,2.0,1050,apartment,for_rent,12.969000,77.749000
NBR-3004,nobroker,https://www.nobroker.in/property/details/NBR-3004,HSR Layout Corner 2BHK,Ready to move with balcony,"505 27th Main Road, HSR Layout",Bengaluru,KA,560102,8500000,2,2.0,1100,apartment,for_sale,12.912000,77.635000
NBR-3005,nobroker,https://www.nobroker.in/property/details/NBR-3005,Bellandur Lake View Apartment,Serene view near ORR,"701 Sarjapur Road, Bellandur",Bengaluru,KA,560103,7200000,2,2.0,980,apartment,for_sale,12.926000,77.676000
NBR-3006,nobroker,https://www.nobroker.in/property/details/NBR-3006,Electronic City Phase 1 Rental,Affordable furnished flat for IT staff,"303 Hosur Road, Electronic City",Bengaluru,KA,560100,24000,1,1.0,650,apartment,for_rent,12.845000,77.660000
NBR-3007,nobroker,https://www.nobroker.in/property/details/NBR-3007,Jayanagar 4th Block Resale,Classic layout with cross ventilation,"88 4th Block, Jayanagar",Bengaluru,KA,560011,9200000,3,2.0,1280,apartment,for_sale,12.930000,77.583000
NBR-3008,nobroker,https://www.nobroker.in/property/details/NBR-3008,Marathahalli Bridge 2BHK,Easy ORR connectivity,"204 Outer Ring Road, Marathahalli",Bengaluru,KA,560037,6800000,2,2.0,900,apartment,for_sale,12.959000,77.701000
NBR-3009,nobroker,https://www.nobroker.in/property/details/NBR-3009,Sarjapur Road Villa,Independent villa with garden,"15 Sarjapur Road, Sarjapur",Bengaluru,KA,560035,14500000,4,4.0,2600,villa,for_sale,12.861000,77.783000
NBR-3010,nobroker,https://www.nobroker.in/property/details/NBR-3010,Hebbal North Bangalore Flat,Near airport road corridor,"601 Bellary Road, Hebbal",Bengaluru,KA,560024,7800000,2,2.0,1020,apartment,for_sale,13.035000,77.597000
